Common_name,Species_Name,Minimum_time_cultivation,Primary_use (Historic),Secondary_use,Current_use,No_Food_Uses,No_Non_Food_Uses,No_Total_Uses,Multi-uses_codes,Biogeographic_Region,Major(1)/Minor(0),Area_Grown_(ha),Sources_additional_uses,Access_Date,,,,
Lard_seed,Hodgsonia macrocarpa,30,P,N,P,1,1,2,"P, M",Indo_malay,0,0,,12/03/2021,,,,
Greenleaf_desmodium,Desmodium_intortum,50,A,T,A,0,2,2,"A, T",Neotropic,0,0,,28/02/2021,,,,
Silverleaf_desmodium,Desmodium uncinatum,60,A,T,A,0,2,2,"A, T",Neotropic,0,0,,28/02/2021,,,,
Wild_rice,Zizania aquatica,60,C,NA,C,2,0,2,"C, V",Nearctic,0,0,,28/02/2021,,,,
Canadian_wild_rye,Elymus canadensis,75,C,A,C,1,1,2,"C, T",Nearctic,0,0,24,28/02/2021,,,,
Col_marina,Crambe hispanica,90,N,T,N,1,4,5,"V, M, T, I, A",Afrotropic,0,0,"13, 22",12/03/2021,,,,
Saskatoon,Amelanchier alnifolia,100,F,NA,F,1,3,4,"F, T, M, TB",Nearctic,0,0,,28/02/2021,,,,
Rabbiteye_blueberry,Vaccinium ashei,130,F,NA,F,1,0,1,F,NA,0,0,,28/02/2021,,,,
Ground_nut,Apios americana,150,R,P,R,2,1,3,"R, P, M",Nearctic,0,0,,28/02/2021,,,,
Common_milkweed,Asclepias syriaca,150,V,N,V,2,3,5,"V, O, M, TX, I",Nearctic,0,0,,28/02/2021,,,,
Centro,Centrosema pubescens,150,A,T,A,0,2,2,"A, T",Neotropic,0,0,,28/02/2021,,,,
Robusta_coffee,Coffea canephora,150,B,NA,B,1,1,2,"B, M",Afrotropic,0,0,,28/02/2021,,,,
Blue_lupin,Lupinus angustifolius,150,A,P,A,1,2,3,"P, A, T",Palearctic,0,0,,28/02/2021,,,,
American_plum,Prunus americana,150,F,N,F,1,3,4,"F, M, D, T",Nearctic,0,0,,28/02/2021,,,,
Flat_pea,Lathyrus sylvestris,170,T,NA,T,0,1,1,T,Palearctic,0,0,,01/03/2021,,,,
Bull_nettle,Cnidoscolus urens,180,N,NA,N,0,1,1,TB/TX,Neotropic,0,0,16,12/03/2021,,,,
Yellow_lupin,Lupinus luteus,200,A,P,A,1,2,3,"P, A, T",Palearctic,0,0,"9, 14",01/03/2021,,,,
Unicorn_plant,Proboscidea louisianica,200,V,P,V,2,2,4,T,Nearctic,0,0,,01/03/2021,,,,
Shagbark_hickory,Carya ovata,220,P,N,P,2,4,6,"P, S, D, TB, M, I",Nearctic,0,0,,01/03/2021,,,,
Goldenberry,Physalis peruviana,244,F,NA,F,1,1,2,"F, M",Neotropic,0,0,,01/03/2021,,,,
Goats_rue,Galega officinalis,250,A,N,A,1,3,4,"V, A, M, T",Palearctic,0,0,,01/03/2021,,,,
Alsike_clover,Trifolium hybridum,250,A,NA,A,1,2,3,"V, A, T",Palearctic,0,0,,01/03/2021,,,,
Tufted_vetch,Vicia cracca,250,A,T,A,1,2,3,"V, A, T",Palearctic,0,0,,01/03/2021,,,,
Seacale,Crambe maritima,260,V,NA,V,1,0,1,V,Palearctic,0,0,,01/03/2021,,,,
Strawberry,Fragaria ananassa,268,F,NA,F,1,0,1,F,Nearctic,1,452666.6364,,01/03/2021,,,,
Scarlet_strawberry,Fragaria virginiana,268,F,NA ,F,1,1,2,"F, M",Nearctic,0,0,,01/03/2021,,,,
Crimson_clover_italian_clover,Trifolium incarnatum,270,A,T,A,1,2,3,"V, A, T",Palearctic,0,0,,01/03/2021,,,,
Hautbois_strawberry,Fragaria moschata,300,F,NA,F,1,1,2,"F, T",Palearctic,0,0,,01/03/2021,,,,
Iron_cross_plant,Oxalis deppei,300,V,NA,V,1,0,1,V,NA,0,0,,01/03/2021,,,,
naranjilla,Solanum quitoense,350,F,NA,F,1,0,1,F,Neotropic,0,0,,01/03/2021,,,,
Ethiopian_cabbage,Brassica carinata,400,V, N,V,2,2,4,"V, O, I, A",Afrotropic,0,0,,01/03/2021,,,,
Patience_dock,Rumex patientia,447,V,NA,V,1,1,2,"V, M, T, I, A",Palearctic,0,0,,01/03/2021,,,,
Gooseberry,Ribes uva-crispa,470,F,NA,F,1,1,2,"F, M",Palearctic,1,31065.72727,,01/03/2021,,,,
Yerba_mate,Ilex paraguariensis,488,B,NA,B,1,1,2,"B, M",Neotropic,1,270693.2727,,01/03/2021,,,,
Pawpaw,Asimina triloba,500,F,N,F,1,3,4,"F, M, TX, D",Nearctic,0,0,,01/03/2021,,,,
Chaya,Cnidoscolus aconitifolius,500,V,NA,V,1,2,3,"V, M, A",Afrotropic,0,0,,01/03/2021,,,,
Chia,Salvia hispanica,500,P,B,P,2,1,3,"P, B, M",Neotropic,0,0,21,12/03/2021,,,,
Chayote,Sechium edule,500,V,R,V,2,3,5,"V, R, M, A, TX",Nearctic,0,0,,01/03/2021,,,,
Cocona,Solanum sessiliflorum,500,F,NA,F,1,0,1,F,NA,0,0,,01/03/2021,,,,
Shea_butter,Vitellaria paradoxa,600,O,F,O,2,4,6,"F, O, M, I, A, TB",Afrotropic,1,494054.7273,,01/03/2021,,,,
Huauzontle,Chenopodium berlandieri,700,C,V,C,2,1,3,"C, V, D",Nearctic,0,0,,01/03/2021,,,,
Melegueta_pepper,Aframomum melegueta,750,K,Q,K,2,2,4,"K, Q, M, A",Afrotropic,0,0,,22/02/2021,,,,
Black_currant,Ribes nigrum,800,F,Q,F,4,3,7,"F, B, Q, TB, M, D, K",Palearctic,0,0,,22/02/2021,,,,
Tomato,Solanum lycopersicum,800,V,NA,V,1,2,3,"V, T, M",Neotropic,1,5500155,,22/02/2021,,,,
Borage,Borago officinalis,850,O,V,O,2,2,4,"O, V, M, T",Palearctic,0,0,,22/02/2021,,,,
Rocket,Eruca vesicaria,850,V,NA,V,3,1,4,"V, K, O, A",Palearctic,0,0,,22/02/2021,,,,
Snake_gourd,Trichosanthes cucumerina,900,V,NA,V,2,0,2,"V, F",NA,0,0,,22/02/2021,,,,
Guanábana,Annona muricata,1000,F,T,F,3,2,5,"F, B, S, T, M",Nearctic,0,0,,22/02/2021,,,,
Ackee,Blighia sapida,1000,F,NA,F,1,2,3,"F, I, M",Afrotropic,0,0,,22/02/2021,,,,
Khat,Catha edulis,1000,N,NA,N,0,1,1,RD,NA,0,0,,12/03/2021,,,,
Guar,Cyamopsis tetragonoloba,1000,V,NA,V,1,4,5,"V, T, I, A, TX",Afrotropic,0,0,,22/02/2021,,,,
Durian,Durio zibethinus,1000,F,P,F,2,0,2,"F, P",Indo_malay,0,0,,22/02/2021,,,,
Beach_strawberry,Fragaria chiloensis,1000,F,B,F,2,0,2,"F, B",Neotropic,0,0,,22/02/2021,,,,
Watercress,Nasturtium officinale,1000,V,NA,V,1,0,1,V,Palearctic,0,0,,22/02/2021,,,,
Tamarind,Tamarindus indica,1000,F,O,F,2,3,5,"F, O, M, I, TB",Indo_malay,0,0,,22/02/2021,,,,
Chives,Allium schoenoprasum,1100,K,T,K,1,1,2,"K, T",Palearctic,0,0,,22/02/2021,,,,
Bishops_weed,Ammi majus,1100,N,NA,N,0,1,1,M,Palearctic,0,0,,22/02/2021,,,,
Angelica,Angelica archangelica,1100,K,O,K,3,2,5,"K, O, V, M, I",Palearctic,0,0,,22/02/2021,,,,
Caraway,Apium carvi,1100,V,O,V,4,2,6,"V, O, F, K, I, M",NA,0,0,,12/03/2021,,,,
Caraway_seeds,Carum carvi,1100,K,Q,K,2,0,2,"K, Q",Palearctic,0,0,,22/02/2021,,,,
Turnip_rooted_chervil,Chaerophyllum bulbosum,1100,R,V,R,1,0,2,"R, V",Palearctic,0,0,,22/02/2021,,,,
Crab_grass,Digitaria sanguinalis,1100,C,A,C,1,1,2,"C, A",Palearctic,0,0,,22/02/2021,,,,
Parsnip,Pastinaca sativa,1100,R,V,R,3,1,4,"V, R, S, M",Palearctic,0,0,,22/02/2021,,,,
Red_currant,Ribes rubrum,1100,F,K,F,2,0,2,"F, K",Palearctic,0,0,,22/02/2021,,,,
Mi_yang_dao,Actinidia deliciosa,1200,F,V,F,2,0,2,"F, V",Indo_malay,1,325916.3636,,22/02/2021,,,,
Acai,Euterpe oleracea,1250,F,V,F,3,2,5,"F, V, O",Neotropic,0,0,,22/02/2021,,,,
Water_dropwort,Oenanthe javanica,1250,V,K,V,2,0,2,"V, K",Palearctic,0,0,,22/02/2021,,,,
Wasabi ,Eutrema japonicum,1300,K,NA,K,1,0,1,K,Palearctic,0,0,,22/02/2021,,,,
Hop,Humulus lupulus,1300,Q,N,Q,1,0,1,Q,Palearctic,1,84651.54545,,12/03/2021,,,,
Lovage,Levisticum officinale,1300,K,Q,K,3,0,3,"K, Q, V",NA,0,0,,22/02/2021,,,,
White_sapote,Casimiroa edulis,1400,F,P,F,2,1,3,"F, P, M",Neotropic,0,0,,22/02/2021,,,,
Spinach,Spinacia oleracea,1400,V,N,V,1,2,3,"V, M, D",Palearctic,1,1550727.364,,22/02/2021,,,,
Blueberry,Vaccinium corymbosum,1400,F,B,F,2,0,2,"F, B",Nearctic,1,83228.54545,,22/02/2021,,,,
Nutmeg_and_mace,Myristica fragrans,1480,K,NA,K,1,0,1,K,Australasia,0,0,,22/02/2021,,,,
Jackfruit,Artocarpus heterophyllus,1500,V,F,V,2,1,3,"V, F, I",Indo_malay,0,0,,22/02/2021,,,,
Cucumber_tree,Averrhoa bilimbi,1500,V,K,V,4,1,5,"V, K, F, B, M",Australasia,0,0,,22/02/2021,,,,
Coffee,Coffea arabica,1500,B,NA,B,1,0,1,B,Afrotropic,1,10595665.27,,22/02/2021,,,,
Alpine_dock,Rumex alpinus,1550,V,N,V,1,1,2,"V, M",Palearctic,0,0,,22/02/2021,,,,
American_sweet_chestnut,Castanea dentata,1650,N,B,N,2,2,4,"P, TB, M, O",Nearctic,0,0,,22/02/2021,,,,
Red_clover,Trifolium pratense,1650,A,V,A,1,2,3,"V, A, I",Palearctic,0,0,,22/02/2021,,,,
Melegueta_pepper,Aframomum melegueta,750,K,NA,K,2,2,4,"K, Q, M, A",Afrotropic,0.291497976,854066.7068,,22/02/2021,,,,
Blackberry,Rubus laciniatus,1680,F,NA,F,1,0,1,F,Palearctic,0,0,,23/02/2021,,,,
Star_fruit,Averrhoa carambola,1700,F,NA,F,1,1,2,"F, M",Australasia,0,0,,23/02/2021,,,,
Garden_chervil,Anthriscus cerefolium,1800,K,NA,K,1,2,3,"K, M, T",NA,0,0,,23/02/2021,,,,
Kangkong_water_spinach,Ipomoea aquatica,1800,V,NA,V,1,2,3,"V, A, M,",Indo_malay,0,0,,23/02/2021,,,,
Hog_peanut,Amphicarpaea bracteata,1850,P,R,P,2,1,3,"P, R, T",Nearctic,0,0,,23/02/2021,,,,
Hairy_vetch_fodder_vetch_winter_vetch,Vicia villosa,1850,T,NA,T,1,1,2,"T, V",Nearctic,0,0,,13/03/2021,,,,
Hungarian_clover,Trifolium pannonicum,1890,T,NA,T,0,2,2,"T, A",Palearctic,0,0,,13/03/2021,,,,
Macadamia,Macadamia integrifolia,1950,P,NA,P,2,0,2,"P, O,",NA,0,0,,23/02/2021,,,,
Callaloo,Amaranthus tricolor,2000,V,NA,V,2,1,3,"V, P, D",Indo_malay,0,0,,23/02/2021,,,,
Konjac,Amorphophallus konjac,2000,R,NA,R,1,1,2,"R, M",Indo_malay,0,0,,23/02/2021,,,,
Cashew_nuts,Anacardium occidentale,2000,P,O,P,4,2,6,"F, Q, A, M",Neotropic,1,5473030.364,,23/02/2021,,,,
Horseradish,Armoracia rusticana,2000,K,NA,K,2,1,3,"V, M",Palearctic,0,0,,23/02/2021,,,,
Papaya_pawpaw,Carica papaya,2000,F,NA,F,2,1,3,"V, M",Neotropic,1,409489.4545,,23/02/2021,,,,
Endive,Cichorium endivia,2000,V,NA,V,1,0,1,V,Palearctic,0,0,,23/02/2021,,,,
Chicory,Cichorium intybus,2000,V,K,V,2,1,3,"A,",Palearctic,1,19127.63636,,23/02/2021,,,,
Mountain_yam,Dioscorea oppositifolia,2000,R,NA,R,2,2,4,"V, M, A",Palearctic,0,0,,23/02/2021,,,,
